Package,LibPath,Version,Priority,Built
lfe,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.5-1998,NA,3.4.0
listviewer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.0,NA,3.4.0
lme4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-15,NA,3.4.3
lmtest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-35,NA,3.4.0
lubridate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.1,NA,3.4.2
magrittr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.0
mapproj,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-5,NA,3.4.0
maps,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.2.0,NA,3.4.0
markdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8,NA,3.4.0
MASS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-48,recommended,3.4.3
Matrix,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-12,recommended,3.4.3
MatrixModels,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-1,NA,3.4.0
memoise,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
methods,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
mfx,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1,NA,3.4.0
mgcv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-23,recommended,3.4.3
mime,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5,NA,3.4.0
miniUI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.0
minqa,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.4,NA,3.4.0
mlbench,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1-1,NA,3.4.1
mnormt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-5,NA,3.4.0
ModelMetrics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.0
modelr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.1
modeltools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-21,NA,3.4.0
mongolite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5,NA,3.4.2
munsell,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.3,NA,3.4.0
mvtnorm,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0-7,NA,3.4.3
neiss,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.0.9000,NA,3.4.1
nlme,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.1-131,recommended,3.4.3
nloptr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.4,NA,3.4.0
nnet,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-12,recommended,3.4.3
numDeriv,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2016.8-1,NA,3.4.0
nycflights13,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.0
odbc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.5,NA,3.4.3
odds.converter,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.45,NA,3.4.1
openssl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.9,NA,3.4.2
packrat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.8-1,NA,3.4.1
padr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4.0,NA,3.4.2
parallel,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
pbkrtest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-7,NA,3.4.0
PerformanceAnalytics,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.3541,NA,3.4.0
pillar,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.0,NA,3.4.3
pinnacle.API,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3.2,NA,3.4.2
pinnacle.reports,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.20,NA,3.4.2
pkgconfig,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.0
PKI,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-5.1,NA,3.4.1
plogr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-1,NA,3.4.0
plotly,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.7.1,NA,3.4.1
plyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8.4,NA,3.4.0
png,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-7,NA,3.4.0
pool,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.3,NA,3.4.2
praise,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
prodlim,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.6.1,NA,3.4.0
prompt,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.1
proto,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
pryr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.3,NA,3.4.2
psych,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.7.8,NA,3.4.1
purrr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.4,NA,3.4.2
quadprog,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.5-5,NA,3.4.0
Quandl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.8.0,NA,3.4.0
quantmod,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.4-12,NA,3.4.3
quantreg,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,5.34,NA,3.4.2
R6,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2.2,NA,3.4.0
RApiDatetime,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.0.3,NA,3.4.0
Rbitcoin,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.7,NA,3.4.1
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-2,NA,3.4.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.12.15,NA,3.4.3
RcppArmadillo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.300.1.0,NA,3.4.3
RcppEigen,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.3.3.1,NA,3.4.3
RcppRoll,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.2,NA,3.4.0
RCurl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.95-4.10,NA,3.4.2
readr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.1,NA,3.4.0
readxl,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.0
recipes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.2,NA,3.4.3
regtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.0
rematch,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.1,NA,3.4.0
rematch2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.1,NA,3.4.1
reprex,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.2,NA,3.4.3
repurrrsive,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.1
reshape2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.3,NA,3.4.3
restorepoint,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.8,NA,3.4.2
RgoogleMaps,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.1,NA,3.4.0
rJava,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9-9,NA,3.4.2
rjson,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.15,NA,3.4.0
RJSONIO,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-0,NA,3.4.0
rlang,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.3
rmarkdown,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8,NA,3.4.2
robustbase,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.92-8,NA,3.4.2
RODBC,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-15,NA,3.4.0
roxygen2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,6.0.1,NA,3.4.0
rpart,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,4.1-12,recommended,3.4.3
rprojroot,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.3-2,NA,3.4.2
rsconnect,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.5,NA,3.4.1
rstudioapi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.7,NA,3.4.1
rvest,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3.2,NA,3.4.0
sandwich,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.4-0,NA,3.4.1
scales,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.0,NA,3.4.1
selectr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-1,NA,3.4.0
sfsmisc,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1-1,NA,3.4.0
shiny,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.5,NA,3.4.1
shinyAce,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.1,NA,3.4.0
shinyBS,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.61,NA,3.4.0
shinyEvents,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.2,NA,3.4.2
slam,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-42,NA,3.4.3
SnowballC,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.1,NA,3.4.0
sourcetools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.0
sp,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2-7,NA,3.4.3
SparseM,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.77,NA,3.4.0
spatial,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,7.3-11,recommended,3.4.3
splines,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
SQUAREM,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2017.10-1,NA,3.4.2
stargazer,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,5.2.1,NA,3.4.2
stats,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
stats4,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
stopwords,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.9.0,NA,3.4.3
stringi,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.6,NA,3.4.2
stringr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.0
stringtools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.01,NA,3.4.2
styler,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.0.0,NA,3.4.3
survival,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.41-3,recommended,3.4.3
tcltk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
testthat,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.0.0,NA,3.4.3
texreg,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.36.23,NA,3.4.0
tibble,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.4.2,NA,3.4.3
tibbletime,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.1,NA,3.4.3
tidyquant,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.5.3,NA,3.4.1
tidyr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.8.0,NA,3.4.3
tidyselect,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.3,NA,3.4.2
tidytext,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.6,NA,3.4.3
tidyverse,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.1,NA,3.4.2
timeDate,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3042.101,NA,3.4.2
timeSeries,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3042.102,NA,3.4.2
timetk,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.0,NA,3.4.1
tokenizers,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1.4,NA,3.4.0
ToolBox,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.3.12,NA,3.4.3
tools,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
tseries,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10-42,NA,3.4.1
TTR,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.23-3,NA,3.4.3
unvotes,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.1
usethis,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
utf8,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.1.3,NA,3.4.2
utils,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.4.3,base,3.4.3
uuid,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1-2,NA,3.4.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2.0,NA,3.4.0
whisker,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.3-2,NA,3.4.0
withr,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.1,NA,3.4.3
wordcloud,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.5,NA,3.4.0
xfun,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.1,NA,3.4.3
XLConnect,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-14,NA,3.4.3
XLConnectJars,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.2-14,NA,3.4.3
XML,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,3.98-1.9,NA,3.4.1
xml2,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.2.0,NA,3.4.3
xtable,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-2,NA,3.4.0
xts,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,0.10-1,NA,3.4.3
yaml,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,2.1.16,NA,3.4.3
zoo,/Library/Frameworks/R.framework/Versions/3.4/Resources/library,1.8-1,NA,3.4.3
